Estado	Impacto (%)	Total de Vínculos
AC	34.899361567327844	28644
AL	38.04669373062962	113308
AM	33.01474833653787	117792
AP	29.22916179766013	21261
BA	32.20470931036512	421540
CE	33.80364529059398	317256
DF	34.49120996336471	269356
ES	29.210995357577097	169134
GO	34.244314944190926	357574
IGNORADO	21.25704120960569	1434
MA	34.752030932049315	153874
MG	30.83455332397204	928203
MS	29.966541630731825	115358
MT	33.907292621484935	211591
PA	32.26091867180203	209655
PB	44.227549194991056	185424
PE	32.85903860798336	306794
PI	37.87896027058616	109863
PR	29.608696237966083	571375
RJ	28.483198602634968	668579
RN	34.9507204610951	121279
RO	29.792519394331656	65363
RR	34.80737963746792	25904
RS	28.17233084230828	472550
SC	29.194424760995663	439191
SE	32.798046256648284	70238
SP	29.22973469848259	2601112
TO	37.75834619005604	76603
